"open","high","low","close","volume","timestamp","formattedOpen","formattedHigh","formattedLow","formattedClose","formattedVolume","formattedTimestamp","relatedNews","issue","redemption","highLow","peCode","newsPnacWithCsk","Date"
"3.98087","3.988137","3.91087","3.915683","0","2013-04-29T02:00:00+02:00","3.98087","3.988137","3.91087","3.915683","0","29/04/2013","","0","1","[object Object]","[object Object]","","2013-04-29"
"3.942025","3.978325","3.913078","3.948066","0","2013-04-30T02:00:00+02:00","3.942025","3.978325","3.913078","3.948066","0","30/04/2013","","0","1","[object Object]","[object Object]","","2013-04-30"
"3.937048","3.967281","3.840906","3.842102","0","2013-05-02T02:00:00+02:00","3.937048","3.967281","3.840906","3.842102","0","02/05/2013","","0","1","[object Object]","[object Object]","","2013-05-02"
"3.745482","3.875493","3.738374","3.874293","0","2013-05-03T02:00:00+02:00","3.745482","3.875493","3.738374","3.874293","0","03/05/2013","","0","1","[object Object]","[object Object]","","2013-05-03"
"3.839376","3.930718","3.836984","3.92589","0","2013-05-06T02:00:00+02:00","3.839376","3.930718","3.836984","3.92589","0","06/05/2013","","0","1","[object Object]","[object Object]","","2013-05-06"
"3.892002","3.929363","3.843998","3.873974","0","2013-05-07T02:00:00+02:00","3.892002","3.929363","3.843998","3.873974","0","07/05/2013","","0","1","[object Object]","[object Object]","","2013-05-07"
"3.863889","3.893944","3.835119","3.845898","0","2013-05-08T02:00:00+02:00","3.863889","3.893944","3.835119","3.845898","0","08/05/2013","","0","1","[object Object]","[object Object]","","2013-05-08"
"3.826574","3.910664","3.826574","3.891382","0","2013-05-09T02:00:00+02:00","3.826574","3.910664","3.826574","3.891382","0","09/05/2013","","0","1","[object Object]","[object Object]","","2013-05-09"
"3.858764","3.921378","3.858764","3.89725","0","2013-05-10T02:00:00+02:00","3.858764","3.921378","3.858764","3.89725","0","10/05/2013","","0","1","[object Object]","[object Object]","","2013-05-10"
"3.929689","3.984245","3.921229","3.981814","0","2013-05-13T02:00:00+02:00","3.929689","3.984245","3.921229","3.981814","0","13/05/2013","","0","1","[object Object]","[object Object]","","2013-05-13"
"4.010895","4.024314","3.950122","4.024314","0","2013-05-14T02:00:00+02:00","4.010895","4.024314","3.950122","4.024314","0","14/05/2013","","0","1","[object Object]","[object Object]","","2013-05-14"
"4.079051","4.091339","3.997098","4.020271","0","2013-05-15T02:00:00+02:00","4.079051","4.091339","3.997098","4.020271","0","15/05/2013","","0","1","[object Object]","[object Object]","","2013-05-15"
"4.010378","4.022587","3.937433","3.981137","0","2013-05-16T02:00:00+02:00","4.010378","4.022587","3.937433","3.981137","0","16/05/2013","","0","1","[object Object]","[object Object]","","2013-05-16"
"3.949412","3.949412","3.899796","3.904626","0","2013-05-17T02:00:00+02:00","3.949412","3.949412","3.899796","3.904626","0","17/05/2013","","0","1","[object Object]","[object Object]","","2013-05-17"
"3.896022","3.909308","3.858673","3.909308","0","2013-05-20T02:00:00+02:00","3.896022","3.909308","3.858673","3.909308","0","20/05/2013","","0","1","[object Object]","[object Object]","","2013-05-20"
"3.911576","3.945488","3.907949","3.938212","0","2013-05-21T02:00:00+02:00","3.911576","3.945488","3.907949","3.938212","0","21/05/2013","","0","1","[object Object]","[object Object]","","2013-05-21"
"3.917178","3.93778","3.906288","3.914757","0","2013-05-22T02:00:00+02:00","3.917178","3.93778","3.906288","3.914757","0","22/05/2013","","0","1","[object Object]","[object Object]","","2013-05-22"
"3.974103","4.094144","3.968016","4.032722","0","2013-05-23T02:00:00+02:00","3.974103","4.094144","3.968016","4.032722","0","23/05/2013","","0","1","[object Object]","[object Object]","","2013-05-23"
"4.065728","4.196842","4.044856","4.162044","0","2013-05-24T02:00:00+02:00","4.065728","4.196842","4.044856","4.162044","0","24/05/2013","","0","1","[object Object]","[object Object]","","2013-05-24"
"4.147068","4.147068","4.049644","4.049644","0","2013-05-27T02:00:00+02:00","4.147068","4.147068","4.049644","4.049644","0","27/05/2013","","0","1","[object Object]","[object Object]","","2013-05-27"
"4.05935","4.067955","4.005426","4.038482","0","2013-05-28T02:00:00+02:00","4.05935","4.067955","4.005426","4.038482","0","28/05/2013","","0","1","[object Object]","[object Object]","","2013-05-28"
